12900000	"turn off machine"
12900000	"add instant coffee into mug"
72800	"go to coffee maker"
217000	"get mug"
7450	"pour water into mug"
7450	"place the coffee filter into the coffee maker"
7450	"put water in kettle and boil"
5650	"find the coffeemaker"
11600	"close filter basket"
11600	"turn machine on and wait to brew"
2030000	"turn machine off"
1980000	"find filter"
1980000	"put ground coffee into a coffee filter"
17100	"put lid down"
55300	"add water to the resevoir"
55300	"turn pot on to its brew mode"
55300	"find an electric coffee pot"
55300	"place water into grind power"
55300	"fill the coffee maker reservoir with water"
5050	"put water in coffee maker"
5050	"put filter in coffeepot"
1310000	"turn on the coffee machine"
30	"put coffee grounds in filter"
30	"put filter in coffee pot"
989	"pour water in machine"
7150000	"roast coffee"
7150000	"make sure the machine has necessary ingredients"
7150000	"put filter in the basket"
2300	"turn coffee pot on"
2300	"wait for coffee to stop dripping"
263000	"put kettle on"
263000	"when pot is full remove and serve coffee"
14700	"turn on coffee maker"
14700	"place coffee inside coffee machine"
25000	"put grounds in the filter"
70100000	"turn on the machine"
99	"turn coffee pot off"
4710	"put coffee in filter"
45300	"put hot water in a cup"
913000	"pour the coffee"
1770	"wait for coffee to be brewed"
1770	"locate coffee machine"
8930000	"fill with water"
124	"put filter in basket"
124	"add coffee to coffee pot"
15900	"place coffee in filter"
224000	"measure coffee"
55	"add coffee to filter basket"
97500	"run hot water through it"
38	"wait until the coffee is done brewing"
43500	"pour in cup"
10400000	"make coffee"
10400000	"pour coffee from pot into cup"
3270000	"turn machine on"
1730	"put coffee into filter"
96	"measure coffee into filter"
561000	"grind the coffee beans"
561000	"place water in coffee pot"
561000	"put filter into basket"
561000	"get coffe bucket from refridgerator"
696000	"grind beans"
235000	"put in new filter"
5290	"put water in coffee pot"
1080	"turn maker on"
712	"pour boiling water in mug"
11700	"pour hot water into mug"
6120000	"pour water"
4230000	"turn on the coffee maker"
4230000	"place holder in coffee maker"
2060	"identify coffee pot"
62300	"turn pot on"
1100	"add water to machine"
5710	"wait for coffee to brew"
23300	"plug in coffee maker"
23300	"put filter in pot"
17100	"put water in kettle"
1440000	"get coffee bean"
1440000	"place instant coffee crystals into the coffee pot"
1050000	"install filter"
157000	"put ground coffee"
31000	"add water to coffee"
1760	"place filter in holder"
2860000	"add coffee"
2860000	"open coffe bucket"
2860000	"pour water in coffee machine"
2350000	"turn on the coffee pot"
4960000	"grind coffee beans"
4960000	"audd milk or cream as desired"
4960000	"put coffee inside filter"
5900000	"find coffee"
5900000	"add water to cofee maker"
5900000	"wait until the coffee pot is filled with coffee"
224	"place filter in basket"
1380000	"boil kettle"
6190000	"brew coffee"
1390000000	"go to the kitchen"
425000	"clean coffee machine"
425000	"add water to coffee pot"
425000	"pour ground coffee in machine"
425000	"add boiled water to mug"
26400	"turn on coffee pot"
233	"put filter in coffee maker"
2430	"put pot on burner"
13800000	"boil water"
13800000	"put filter in coffee machine"
331000	"coffee in cup"
331000	"fill water in coffeemaker"
331000	"put water in coffe maker"
331000	"load the ground coffee powder to the coffee machine"
331000	"put coffee in coffee machine"
331000	"turn coffemaker on"
331000	"watch cup fill up with coffee"
2440	"put water in machine"
5600000	"grind coffee"
23500000	"get water"
212000	"fill kettle with water"
212000	"place water into the coffee pot"
212000	"place coffe urn under brew spout"
212000	"put a coffee pot under the coffee machine"
7690	"switch coffee machine on"
4580	"turn kettle on"
4580	"place coffee in machine"
4580	"put new filter in coffee machine"
227000	"get coffee filter"
227000	"move to coffee machine"
3650000	"walk to the coffee machine"
3650000	"pour coffee into mug when brewed"
3650000	"idenity coffee grounds"
2250	"put water in coffee machine"
2250	"pour water into coffee pot"
26300000	"press 'start'"
26300000	"pour water in resevoir"
470	"put coffee in mug"
11600	"add sugar as desired"
72300	"place in holder"
72300	"pour water in the resevoir"
509	"put grounds in filter"
18900	"add sugar and milk to taste"
425000000	"stir"
425000000	"wait for the coffee pot to brew the coffee"
669000	"turn on machine"
669000	"place pot in the brewer"
669000	"filter the grinded coffee"
7600	"turn on coffee machine"
7680000	"get coffee"
11800	"fill filter with coffee"
51700000	"add water"
51700000	"grind coffee if have beans"
51700000	"pour coffee beans into filter"
51700000	"place coffee grounds in coffee pot"
51700000	"put coffeepot on the coffemakingmachine"
19300	"put coffee in a filter"
