0	0	"take out credit card at cash"
0	0	"take charge slip from cashier"
0	0	"Hand ID to cashier"
31200	1750000	"wait for approval"
21	120	"remove card from wallet"
16	1110	"hand card to cashier"
32	474	"put credit card back in wallet"
0	0	"replace credit card in wallet"
0	0	"Get back my card and ID"
21	34400	"put my card in my wallet"
16	0	"hand credit card to cashier"
5	0	"Hand the card to cashier"
0	0	"cashier will swipe card"
390	115000	"review purchase agreement"
1690	167000	"confirm amount"
0	0	"cashier generates receipt"
17500	1100000	"sign the receipt"
3310	4170000	"get my receipt"
6260	1110000	"provide card"
48	681	"sign credit slip"
309000	13200000	"get approval"
1760	7950000	"Take out my wallet"
12	1150	"leave with purchase"
992	1590000	"take out credit card"
32	1860	"dig through purse"
19	157000	"get credit card back"
604	28000	"Sign the sales slip"
0	0	"clerk checks items"
944	1180000	"Show them my ID"
46000	5020000	"determine total"
2250	155000	"Sign receipt"
0	0	"run hand card to teller"
0	0	"teller give you item"
14300	1560000	"find the right credit card"
3300	521000	"get the card out"
0	0	"select credit on scan device"
0	0	"wait for them to work magic"
14	2130	"slide card through reader"
0	0	"give cashier signed slip"
2470	3740	"sign reciept"
0	0	"present merchandice to clerk"
0	0	"clerk announces total bill"
0	0	"take credit card from cashier"
42	2710	"put card away"
48	1340	"sign charge slip"
0	0	"enter zip code into scanner"
0	0	"if correct sign agreement"
0	35	"put receipt in bag"
21	0	"select card to use"
13	3800	"approach cashier"
10	108	"cashier hands it back to you"
2200	308000	"wait for processing"
16	0	"take back credit card"
0	0	"sign store copy of receipt"
1240	110000	"take out wallet"
763	10400	"Give the expiration"
0	0	"Take copy from Cashier"
0	0	"Sign receipt from cashier"
367000	23700000	"go to checkout"
0	0	"take customer receipt"
5	0	"get card out of wallet"
12	1370	"have a photo ID handy"
0	0	"try it on(if clothing)"
1960	1250000	"present it to the merchant"
42	11400	"put card up"
16	0	"Hand credit card to cashier"
13	6940	"Put the card back in my wallet"
20500	1660000	"receive receipt"
17	3280	"wait to be rung up"
2140000	9010000000	"done"
1410	1930000	"check payment amount"
0	0	"swipe card where needed"
20	6300	"hand to cashier"
9850	4960000	"obtain credit card"
0	0	"swipe credit card in scanner"
5	0	"wait for cashier to process"
0	0	"take purchases and leave"
0	0	"teller runs card"
0	0	"take store receipt from cashier"
0	0	"take purchased goods and leave"
1500000	11200000	"sign your name"
5	0	"Get credit card from wallet"
0	0	"have cashier ring up item"
6760000	136000000	"and done"
14100	21400	"take reciept"
52500	2140000	"Check the numbers"
7150000	9510000000	"leave"
134000	447000000	"go to a store"
21	180	"give card to cashier"
0	0	"give credit card to cashier"
10	37	"sign merchant copy"
0	0	"wait on cashier to run card"
5830	558000	"find wallet"
0	0	"take receipt and goods"
28600	246000000	"go to the register"
0	0	"sign receipt when presented"
0	0	"Wait for a copy of receipt"
0	0	"Read or type the CC numbers."
2250	155000	"sign receipt"
0	0	"small talk during approval"
0	0	"bring items to checkout"
0	0	"teller hands you paper"
0	0	"pull out wallet or pocketbook"
0	0	"Get the card from my wallet"
137000	33900000	"select item"
0	0	"locate credit card from wallet"
22100	2730000	"sign paper"
29900	5910000	"find object"
13500	1260000	"take receipt"
0	0	"return slip to cashier"
0	0	"give receipt back to cashier"
1290	26300	"Take the credit card out"
5	0	"check reciept for errors"
603000	4810000	"swipe card"
0	0	"Give the last 3 back digits"
1360	219000000	"Wait for the total"
26	72500	"put away card"
160	100	"Take purchased item"
0	0	"sign electric pad"
10	2980	"ring order up"
9610	1040000	"Finish the transaction"
