288000	"explain whats wrong"
5810000	"explain the problem"
265000	"leave a good tip"
265000	"Explain why the food sucks"
265000	"waiter asks me why?"
52100	"apologize for complaining"
1230000	"Eat meal"
1230000	"specify the quality as comment"
1230000	"continue eating other food"
1230000	"notify wait staff of problem"
316000	"Explain problem"
316000	"chef will correct issue"
221000	"brings new food"
221000	"waiter takes dish away"
384000	"complain about food"
4160	"flag down waiter"
4160	"show her the bad parts"
114000	"thank the chef"
114000	"hand dish back to server"
1460000	"explain to the waitress"
62700	"I state the reason"
62700	"or leave restaurant"
62700	"Server takes food back"
12600000	"find something wrong with it"
12600000	"Tell what is wrong with food"
12600000	"attract attention of server"
8980000000	"enjoy"
7160	"decide to say anything or not"
7160	"wait for replacement food"
7160	"call server to table"
158000	"decide to complain"
1330000	"Problem is corrected"
23100	"thank the waitress"
321000	"Send back the old one"
321000	"tell chef complaint of food"
2860	"Get server's attention"
2860	"food will be returned to chef"
6360	"Ask for a new plate of food"
4640	"leave a higher tip"
3230000	"make another order"
1020000	"call waiter"
60000000	"still the same"
36400	"complain to him or her"
36400	"call over server"
36400	"delete money for that food"
36400	"tell waiter problem with food"
13400	"new dish arrives"
59800	"hopefully everyone is happy"
59800	"waitstaff will bring food back"
59800	"ask her to take back the food"
12400000	"eat the food"
110000000	"you wait"
4570	"get waitress attention"
4570	"waiter changes food"
4570	"i wait for the new order"
4570	"ask a server to examine it"
4570	"waiter takes food back"
4570	"thank waitstaff for correcting"
4570	"Ask him to have another made"
25900	"food is returned"
25900	"You get a new plate of food"
127000	"comment about food"
316000	"explain problem"
3510000000	"eat"
543000	"Describe problem"
543000	"Server brings a new meal"
7	"waiter brings in the food"
377000	"speak to manager"
4280	"call for waiter"
4280	"Inspect the new plate"
5750	"Wait for your new plate"
30200	"The waiter apologizes"
30200	"wait for new dish"
75800	"Flag down the waiter"
75800	"if not good  return it"
13500000	"taste food"
29400000	"place a new order"
3220000	"get refund"
3220000	"Your food is taken back"
763000000	"annoying"
763000000	"chef prepares new food"
4670000	"don't like the food"
175000	"dislike food"
1630	"thank waiter"
2460000	"tell him what's wrong"
2460000	"now taste it as well"
2460000	"cook prepairs new dish"
1390	"order different dish"
103000	"wait for a new dish"
7590	"waiter apologises"
7590	"server returns food to kitchen"
4640000	"taste the food"
104	"request a replacement meal"
2050	"complain to server"
2050	"hand plate to server"
2050	"new plate of food is brought"
2050	"you take new plate"
868000000	"complaints"
868000000	"waiter takes back the food"
44300000	"be polite"
389000	"Call the waiter"
15400	"wait for new food"
5840000	"order something else"
5840000	"food brought back to table"
5840000	"try out the replacement food"
5840000	"kindly request money back"
17600	"call the bearer"
17600	"find defect in the food"
