	"put the mailing address on the envelope"
2150000	"buy stamp"
286000000	"walk away"
286000000	"fold letter to fit inside envelope"
3230	"write return address on envelope"
3230	"seal letter in envelope"
3230	"drive or walk to the mail box"
33	"put envelope in mail box"
483000	"apply postage stamp"
483000	"place the envelope into a mailbox"
6830000	"mail letter"
1180	"put stamp on letter"
124	"drop letter in mailbox"
13300	"properly address the envelope"
13300	"put letter in letter box"
3960	"drop envelope in mailbox"
339000	"write return address"
339000	"drop envelope in mail box"
339000	"take letter to mailbox"
234000	"put a stamp on the envelope"
234000	"get envelope and stamps ready"
1980	"put return address on envelope"
10500000	"get paper"
3220	"put in postbox"
0	"put letter into mail box"
128	"fold and place in envelope"
128	"write to address on envelope"
188000	"close envelope"
1030	"place letter in envelope"
9340	"weigh the letter"
6	"write the delivery address on the envelope"
1240000	"address the letter"
86100	"write the address on the letter"
86100	"write return address on evelope"
86100	"fold letter into thirds"
2370000	"add postage"
2370000	"bring it to a mail box"
2370000	"get the letter to the next mailbox"
3980	"affix proper postage to the envelope"
57500	"put the letter in the mailbox"
134	"drop letter into mailbox"
134	"put the sender s and recipient s name on the envelope"
134	"place envelope in outgoing mailbox"
9950	"put postage on the envelope"
9950	"write return address in top left corner"
9950	"put completed letter in envelope"
9950	"put letter in envilope"
5280	"place the letter in an envelope"
5280	"put letter in envelope and seal envelope"
463000	"find an envelope"
463000	"write information sign at the bottom"
4210	"locate a mailbox"
3560	"seal the letter in an envelope"
118000	"close the mailbox"
6810	"walk to mail box"
2410	"lick flap"
2000	"put letter in envelope"
2000	"place a stamp on the letter in the upper-right-hand corner"
1220000	"pick up a letter"
1550000	"seal envelope"
531000	"affix stamp"
531000	"put stamp on evelope"
5020	"put the letter in the mail box"
5020	"print letter if possible"
2310	"write forwarding address"
1010000	"seal the envelope"
14300	"adress envelope"
2180000	"get pen"
21400	"place the letter in the mailbox"
5780000	"sign letter"
5780000	"post letter in red post box"
759000	"stamp envelope"
48000000	"write letter"
48000000	"discern need for letter"
48000000	"place stamp on letter"
48000000	"put letter in postal mail box"
48000000	"drop letter into post box"
652000	"write to address"
652000	"locate an evelope"
6630000000	"wait"
6630000000	"put in outgoing mailbox"
40100	"put in mailbox"
40100	"insert letter in postbox slot"
83100	"put in envelope"
40400000	"decide what to write"
3410	"put stamp on envelope"
3410	"write the return address on the letter in the upper left-hand corner"
23	"seal envilope"
23	"get paper and pen sit down"
87000	"go to post box"
129	"insert letter in envelope"
1580000	"find a mailbox"
1580000	"place postage on the letter"
3320000	"fold paper"
474000	"put stamp"
474000	"write the address to send it to"
474000	"move to post box"
474000	"put address and stamp on the front of the envelope"
6690000	"put it in the mail box"
6690000	"attatch stamp"
986000000	"stamp"
986000000	"stick a postage stamp on the envelope"
873000	"address the envelope"
873000	"walk with envelope to post box"
873000	"post at box or post office"
873000	"place the envelope in the outgoing mail box"
873000	"it will be sent out to the address"
873000	"properly address the envelope to the recipient"
90600	"go to mailbox"
2220000	"find paper"
452	"take letter to post office"
452	"make sure envelope is sealed"
99	"stick stamp on envelope"
4720	"write the return address on the envelope"
3530000	"sign the letter"
10200	"place a stamp on the envelope"
1670	"put letter in mailbox"
2630000	"add stamp"
3280000	"move to the mailbox"
3630	"put the letter in a mailbox"
3630	"place proper postage on envelope"
765000	"take letter"
765000	"take letter to postbox"
765000	"address envelope in front middle of envelope"
128000	"write the address on the envelope"
128000	"drop the letter into a postal dropbox"
128000	"put sufficient stamps on the envelope"
128000	"find mailing place"
97	"put letter into envelope"
97	"wet the edges on the back to close envelope"
18800	"affix postage stamp"
36600000	"put it in an envelope"
1880000	"apply postage"
499000	"place in a mail box"
499000	"seal and address envelope"
499000	"take letter to mail box"
1870000	"address envelope"
28700000	"write the letter"
28700000	"seal envelope by licking the adhesive strip or remove the protection over the adhesive"
95	"place proper postage on the envelope"
95	"put envelope in post box"
261000	"drop in a mailbox"
261000	"stick appropriate stamp in top right corner"
1750000	"stamp letter"
164000	"put the letter in an envelope"
164000	"bring letter to mailbox"
164000	"locate the letter to be sent"
164000	"write adresson envelope"
1140000	"seal letter"
1140000	"lick end of envelope"
1140000	"place letter in mail pickup box"
9280000	"get letter"
9280000	"fold and place in envelope with a stamp"
9050000000	"write"
979	"find pencil or pen"
17300	"put the letter into an envelope"
694	"drive to mail box"
694	"raise flag on mailbox"
45500	"write address on envelope"
43700000	"write a letter"
3340000	"write address"
3340000	"write destination address on envelope"
3340000	"place letter in mailbox"
3340000	"place the letter in a mailbox"
418	"insert letter into envelope"
418	"put envelope in postbox"
86	"place the envelope in a mailbox"
10200	"put enough postage on the envelope"
22700	"place the letter in the envelope"
18500	"drop in mailbox"
18500	"write adress on envelope"
18500	"bring envelope to postbox"
2190	"drop the envelope in a mailbox"
2190	"seal and put a stamp on it"
2770000	"open the mailbox"
2770000	"affix stamp on front right hand corner"
2770000	"place postage stamp on the envelope"
25900000	"writing a letter"
2240000	"open mailbox"
