37	0	"enter time to cook"
56900	9410000	"set timer"
3580	407000	"set the power level"
621	9230	"wait for food to cook"
103000	16500000	"close door"
0	0	"place bowl with food in microwave"
0	0	"set the setting for heating food"
0	0	"keep food in microwavable utensil"
1970	51800	"close the microwave"
181000	11500000	"set the timer"
1440	23800	"place dish in microwave"
16000	320000	"press  cook"
21	200000	"choose the time required"
1130	294000	"press the start button and wait"
27	0	"put the food in a microwave safe container"
9150	3150000	"take out the food"
1340	22100	"close the microwave door"
0	0	"punch in cooking time"
12600	0	"put in microve"
0	0	"input in for designated time"
0	0	"set time and power on the microwave"
0	0	"take out the food when time is up"
0	0	"when time is up remove food"
0	0	"place food in microwavable safe ware"
0	0	"place food to be heated on a mcorwave saft plate"
599000	18900000	"find food"
11	2070	"put dish in microwave"
0	0	"find food to heat"
2660	163000	"wait for timer"
21	481	"take plate out of microwave"
847	188000	"take plastic cover off"
0	0	"turn on microwave oven for two minutes"
87400	8820000	"press the start button"
1160	255000	"put food in the microwave"
0	0	"select power level and time"
22	9740000	"walk to the microwave"
120000000	8980000000	"enjoy"
694	74900	"set the timer on the microwave"
0	0	"put food in a microwave suitable bowl"
27	1390000	"press button to set time"
37	98	"put container in microwave"
1840	85200	"start microwave"
10	2290	"place food into the microwave"
4990	475000	"turn on oven"
25200	1270000	"locate food"
71600	9060000	"put food in"
3790	10700000	"turn on the microwave"
0	0	"remove when beeping"
0	0	"put food in microwaveable dish"
5	106	"choose the temperature needed"
4630	159000	"press in time"
0	238	"wait for food to heat up"
995	12800	"locate microwave"
1990	309000	"open the microwave door"
5	0	"remove food when time is up"
305	1950000	"keep it in microwave"
1720	46700	"turn on microwave"
10	1090	"put the food inside the microwave"
28200	2270000	"cover dish"
6900	0	"open microave"
54000	3510000	"input time"
48	3070	"remove food from microwave"
21	1400	"open door to microwave"
11300	955000	"place in microwave"
9300	242000	"stir food"
1860000	18900000	"cover plate"
303000	6630000000	"wait"
91200	9820000	"press the 'start' button"
32	1300	"put food in container"
187000	1090000	"check temperature"
48	4320	"put food into the microwave"
1920	1320000	"open the door of the microwave"
5	0	"select time and power level"
0	0	"keep the utensil in microwave"
0	0	"open the door panel of the microwave"
0	0	"set timer/power level as appropriate for the item being heated"
4830000	28700000	"close the door"
0	0	"select desired length and temperature"
0	0	"enter cooking time on microwave keypad"
0	0	"when microwave beeps remove food"
12300	1360000	"find microwave"
149000	12400000	"push start button"
0	0	"put food on a microwaveable dish"
27	14700	"set time on microwave"
193000	5970000	"press start button"
110	5860	"put plate in microwave"
980	45700	"open microwave door"
0	0	"set up the time for heating"
871	39800	"put food on a plate"
14	61300	"wait until the time is over"
837	60200	"turn microwave on"
1040	51200	"remove dish from microwave"
318	1470000	"close the door panel"
438000	11600000	"serve food"
77800000	25270000000	"start"
0	0	"replace cover loosely on food"
13	4600	"put the food into the microwave"
0	0	"remove hot food carefully"
64900	2090000	"open food"
5	136	"place container inside microwave oven"
0	0	"repeat till desired temperature is acheived"
0	0	"place food in microwave-safe container"
0	0	"set desired time on the microwave"
0	0	"wait until it s finished heating"
4830	8640	"unwrap food"
2050000	26400000	"press start"
1230	90700	"enter cooking time"
21	0	"place food in mircrowave"
23	1950000	"take out food and eat"
1090	204000	"place food inside"
3140	368000	"press timer"
7010	428000	"open microwave"
21	918	"shut microwave door"
0	0	"enter the cooking time and power level"
0	0	"put food in microwave dish"
5	0	"take food out of microwave"
0	0	"put container inside microwave"
65700	1900000	"remove food"
894000	34100000	"select time"
0	0	"set the time of how long food needs to be heated"
25500	3420000	"push the start button"
2270	1180000	"set power level"
13	397000	"close the door of the microwave"
0	0	"place container with food in microwave"
1740	1240000	"set cooking time"
0	0	"set timer according to food type"
21	0	"put in to microwave"
4300	1860000	"switch on the microwave"
0	0	"take food out of wrapper"
11	612	"remove container from oven"
0	0	"wait for microwarve to finish"
0	0	"place food in microwave safe container"
534000	12400000	"let cool"
0	0	"take plastic off the package"
0	0	"when the bell dings remove your food"
0	0	"put food in microwave safe dish"
0	0	"enter food in microwave"
0	0	"after the beep open microwave"
899000	85400000	"set time"
43	5200	"set the timer for the appropriate time"
10	9990	"when finish remove"
444	144000	"put the food in the microwave"
4380000	27600000	"get food"
0	0	"locate food to heat"
0	0	"when microwave buzzes remove food"
0	0	"place food inside microwave"
0	0	"put food on/in microwave safe container"
21	178	"put food into microwave"
0	0	"press stop and open microwave"
2010000	26400000	"press 'start'"
5	0	"put food in microwave safe container"
0	0	"press button to open microwave"
16	0	"wait for microwave to stop"
1360	94000	"wrap in paper towel"
5	0	"open door and remove food"
20	6630	"close microwave door"
5	0	"when time is up open microwave door"
0	1130	"place the food in microwave"
0	0	"select time and turn on microwave"
0	0	"enter time as indicated in instructions on box"
21	19700	"place food in microwave"
0	0	"get food out when timer goes off"
0	0	"remove protective cover from food"
794000	12300000	"push start"
0	0	"place food on a microwave-safe container"
0	0	"select heating level for microwave"
1330	415000	"set cooking temperature"
12900	818000	"put in microwave"
5	0	"set timer to specific time"
23	6160	"put food on plate"
0	0	"place plate with food into microwave"
119000	6670000	"take the food"
1310	42800	"press start on the microwave"
560000	12800000	"take food"
0	0	"set timer for appropriate setting for food"
93200	4390000	"wait to finish"
551000	10200000	"set power"
0	0	"press buttons on the microwave to heat the food"
13	6000	"put food in microwave"
5	2690	"when done open the door"
757	39800	"close microwave"
0	0	"put food on a microwave safe plate"
0	0	"press start button on microwave"
24	5660	"wait for timer to finish"
