	"enter time to cook"
9410000	"set timer"
407000	"set the power level"
9230	"wait for food to cook"
16500000	"close door"
16500000	"place bowl with food in microwave"
16500000	"set the setting for heating food"
16500000	"keep food in microwavable utensil"
51800	"close the microwave"
11500000	"set the timer"
23800	"place dish in microwave"
320000	"press  cook"
200000	"choose the time required"
294000	"press the start button and wait"
294000	"put the food in a microwave safe container"
3150000	"take out the food"
22100	"close the microwave door"
22100	"punch in cooking time"
22100	"put in microve"
22100	"input in for designated time"
22100	"set time and power on the microwave"
22100	"take out the food when time is up"
22100	"when time is up remove food"
22100	"place food in microwavable safe ware"
22100	"place food to be heated on a mcorwave saft plate"
18900000	"find food"
2070	"put dish in microwave"
2070	"find food to heat"
163000	"wait for timer"
481	"take plate out of microwave"
188000	"take plastic cover off"
188000	"turn on microwave oven for two minutes"
8820000	"press the start button"
255000	"put food in the microwave"
255000	"select power level and time"
9740000	"walk to the microwave"
8980000000	"enjoy"
74900	"set the timer on the microwave"
74900	"put food in a microwave suitable bowl"
1390000	"press button to set time"
98	"put container in microwave"
85200	"start microwave"
2290	"place food into the microwave"
475000	"turn on oven"
1270000	"locate food"
9060000	"put food in"
10700000	"turn on the microwave"
10700000	"remove when beeping"
10700000	"put food in microwaveable dish"
106	"choose the temperature needed"
159000	"press in time"
238	"wait for food to heat up"
12800	"locate microwave"
309000	"open the microwave door"
309000	"remove food when time is up"
1950000	"keep it in microwave"
46700	"turn on microwave"
1090	"put the food inside the microwave"
2270000	"cover dish"
2270000	"open microave"
3510000	"input time"
3070	"remove food from microwave"
1400	"open door to microwave"
955000	"place in microwave"
242000	"stir food"
18900000	"cover plate"
6630000000	"wait"
9820000	"press the 'start' button"
1300	"put food in container"
1090000	"check temperature"
4320	"put food into the microwave"
1320000	"open the door of the microwave"
1320000	"select time and power level"
1320000	"keep the utensil in microwave"
1320000	"open the door panel of the microwave"
1320000	"set timer/power level as appropriate for the item being heated"
28700000	"close the door"
28700000	"select desired length and temperature"
28700000	"enter cooking time on microwave keypad"
28700000	"when microwave beeps remove food"
1360000	"find microwave"
12400000	"push start button"
12400000	"put food on a microwaveable dish"
14700	"set time on microwave"
5970000	"press start button"
5860	"put plate in microwave"
45700	"open microwave door"
45700	"set up the time for heating"
39800	"put food on a plate"
61300	"wait until the time is over"
60200	"turn microwave on"
51200	"remove dish from microwave"
1470000	"close the door panel"
11600000	"serve food"
25270000000	"start"
25270000000	"replace cover loosely on food"
4600	"put the food into the microwave"
4600	"remove hot food carefully"
2090000	"open food"
136	"place container inside microwave oven"
136	"repeat till desired temperature is acheived"
136	"place food in microwave-safe container"
136	"set desired time on the microwave"
136	"wait until it s finished heating"
8640	"unwrap food"
26400000	"press start"
90700	"enter cooking time"
90700	"place food in mircrowave"
1950000	"take out food and eat"
204000	"place food inside"
368000	"press timer"
428000	"open microwave"
918	"shut microwave door"
918	"enter the cooking time and power level"
918	"put food in microwave dish"
918	"take food out of microwave"
918	"put container inside microwave"
1900000	"remove food"
34100000	"select time"
34100000	"set the time of how long food needs to be heated"
3420000	"push the start button"
1180000	"set power level"
397000	"close the door of the microwave"
397000	"place container with food in microwave"
1240000	"set cooking time"
1240000	"set timer according to food type"
1240000	"put in to microwave"
1860000	"switch on the microwave"
1860000	"take food out of wrapper"
612	"remove container from oven"
612	"wait for microwarve to finish"
612	"place food in microwave safe container"
12400000	"let cool"
12400000	"take plastic off the package"
12400000	"when the bell dings remove your food"
12400000	"put food in microwave safe dish"
12400000	"enter food in microwave"
12400000	"after the beep open microwave"
85400000	"set time"
5200	"set the timer for the appropriate time"
9990	"when finish remove"
144000	"put the food in the microwave"
27600000	"get food"
27600000	"locate food to heat"
27600000	"when microwave buzzes remove food"
27600000	"place food inside microwave"
27600000	"put food on/in microwave safe container"
178	"put food into microwave"
178	"press stop and open microwave"
26400000	"press 'start'"
26400000	"put food in microwave safe container"
26400000	"press button to open microwave"
26400000	"wait for microwave to stop"
94000	"wrap in paper towel"
94000	"open door and remove food"
6630	"close microwave door"
6630	"when time is up open microwave door"
1130	"place the food in microwave"
1130	"select time and turn on microwave"
1130	"enter time as indicated in instructions on box"
19700	"place food in microwave"
19700	"get food out when timer goes off"
19700	"remove protective cover from food"
12300000	"push start"
12300000	"place food on a microwave-safe container"
12300000	"select heating level for microwave"
415000	"set cooking temperature"
818000	"put in microwave"
818000	"set timer to specific time"
6160	"put food on plate"
6160	"place plate with food into microwave"
6670000	"take the food"
42800	"press start on the microwave"
12800000	"take food"
12800000	"set timer for appropriate setting for food"
4390000	"wait to finish"
10200000	"set power"
10200000	"press buttons on the microwave to heat the food"
6000	"put food in microwave"
2690	"when done open the door"
39800	"close microwave"
39800	"put food on a microwave safe plate"
39800	"press start button on microwave"
5660	"wait for timer to finish"
