Walk into the reasturant,go to ordering counter,I decide what i want,place an order,Park car,walk into restaurant,look at menu,enter restaurant,Enter the restaurant,look at menu,wait in line,Stand in line,get in line,go to restaurant,walk up to the counter,I drive up to the menu,buy food coupons,select the place to sit,order a hamburger,check my pocket,enjoy the food first,walk to the counter,loves to eat more
Wait in line to order may food,decide what to eat,I order it,pay for the food/drinks,go inside,find the end of the line,decide what you want,go to counter,Sit down,go to cashier,order food,decide what you want,look at menu,proceed to front counter,look at the menu,Pick the items I want,give at counter,check the menu,order a bottle of coke,then entering a  retaurant,they will give you the bill,place an order,different atmosphere
order my food,place order,make payment,except order,oder items from wall menu,stand in line,order at counter,make selection,order,order food,pay for food,order food,look at prices,examine menu board,decide on what to order,Announce my order to worker,wait with the crazy crowd,order fast food,order french fries,claen my hands,pay by money,pay the bill,have fun with friends
Pay for the food,pay for order,wait for food,get napkins and condiments,pay for food,look at menu board,pay at counter,place order,wait,wait for food to be ready,wait,pay,count change,tell cashier your order,give order to the employee,Drive up to the window,find a place to stand,wait for the meal,order a drumstick,order non veg foods,if no money pay by cards,wait for the ordered food,eat what we like
Keep my receip,take a number,eat the food,throw away the containers,wait,decide on food/drink,receive food at counter,pay for food,eat food,take food to table,recieve food,receive food,order food,pay for order,pay for order,Give the worker money,eat,eat meal,find somewhere to sit,then eat slowly,now if u like food take parcel,get the food,miss mom's taste and flavor
Wait for my order,collect utensils,leave,leave store,get food,tell cashier your order,take food to table,pick up order,pay,eat food,sit down,select a place to sit,get condiments,wait for order,wait for order  to be done,Gather my order,look around,pay the bill,eat my food,and pay bill,null,move to a table,a moody atmosphere
Get my order,wait for food,null,null,leave,listen to cashier repeat order,eat food,pick up condiments,leave,null,eat food,eat,take food tray to vacant table,receive tray with order,Confirm order and leave,Drive away,try a new dish,if service is good pay tip,get fat,null,null,eat food,drinks beverages
Seat at a table,pick up food when ready,null,null,eat in the car,listen for total price,null,go to table,null,null,null,take trash to receptical,eat,dispense soda into cup,null,Eat at home,else take a home delivery,null,null,null,null,exit the place,have fun
eat,sit down at table,null,null,null,swipe credit card in scanner,null,consume food,null,null,null,leave,dispose of garbage,find table,null,null,loads of packets,null,null,null,null,null,many comes and goes
null,eat food,null,null,null,put up credit card,null,clear tray,null,null,null,null,place tray in stack,eat meal,null,null,different foods,null,null,null,null,null,some regular customers
null,put away trays and trash,null,null,null,take receipt,null,null,null,null,null,null,leave,dispose of trash,null,null,hot,null,null,null,null,null,couples during weekends
null,null,null,null,null,look at order number,null,null,null,null,null,null,null,return tray,null,null,delicious,null,null,null,null,null,friends for treat
null,null,null,null,null,take your cup,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,customers satisfaction
null,null,null,null,null,stand off to the side,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,tips for servers
null,null,null,null,null,wait for number to be called,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,mouth freshners
null,null,null,null,null,get your drink,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,bill
